127.0.0.1 - - [31/Oct/2022:09:31:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:31:04 +0900] "GET /MProject/MainPage/MainGo.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:31:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:31:07 +0900] "GET /MProject/reviewBoard/ReviewMainPage.do HTTP/1.1" 200 10474
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:39:22 +0900] "GET /MProject/reviewBoard/reviewList.do HTTP/1.1" 200 12272
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:39:27 +0900] "GET /MProject/reviewBoard/reviewList.do HTTP/1.1" 200 12272
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:41:20 +0900] "GET /MProject/reviewBoard/reviewView.do?num=628 HTTP/1.1" 200 8887
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:43:08 +0900] "GET /MProject/reviewBoard/reviewList.do HTTP/1.1" 200 12272
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:43:09 +0900] "GET /MProject/reviewBoard/reviewWrite.do HTTP/1.1" 200 8640
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:43:17 +0900] "POST /MProject/Loginout/Login.do HTTP/1.1" 200 10806
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:43:52 +0900] "GET /MProject/reviewBoard/reviewList.do HTTP/1.1" 200 12429
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:43:54 +0900] "GET /MProject/reviewBoard/reviewWrite.do HTTP/1.1" 200 9969
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:52:13 +0900] "GET /MProject/reviewBoard/ReviewMainPage.do HTTP/1.1" 200 10806
0:0:0:0:0:0:0:1 - - [31/Oct/2022:09:57:47 +0900] "GET /MProject/reviewBoard/ReviewMainPage.do HTTP/1.1" 200 10684
0:0:0:0:0:0:0:1 - - [31/Oct/2022:10:03:24 +0900] "GET /MProject/reviewBoard/ReviewMainPage.do HTTP/1.1" 200 10688
